week_start,rank,gateway_id,hybrid_score,ml_probability,baseline_score,ml_percentile,baseline_percentile
2026-02-02 00:00:00+00:00,1,064AED1EC0AA,0.9917168674698795,0.0945998227956296,26.0,0.9909638554216867,0.9939759036144579
2026-02-02 00:00:00+00:00,2,0E1B6F4DBA34,0.9894578313253012,0.0823904835678842,26.0,0.9879518072289156,0.9939759036144579
2026-02-02 00:00:00+00:00,3,06F2CDBD2C41,0.987198795180723,0.13769908833346986,19.0,0.9939759036144579,0.9668674698795181
2026-02-02 00:00:00+00:00,4,06F49BD8F572,0.9871987951807228,0.0804151888330907,26.0,0.9849397590361446,0.9939759036144579
2026-02-02 00:00:00+00:00,5,0EF023E6452D,0.9743975903614457,0.03175047179459467,23.0,0.9698795180722891,0.9879518072289156
2026-02-02 00:00:00+00:00,6,0EE09EDA649F,0.9646084337349398,0.025328802626685368,19.0,0.963855421686747,0.9668674698795181
2026-02-02 00:00:00+00:00,7,0A2778A31BE3,0.963855421686747,0.022333226391046,43.0,0.9518072289156626,1.0
2026-02-02 00:00:00+00:00,8,0AB6B45C775A,0.954066265060241,0.023580079311258155,16.0,0.9578313253012049,0.9427710843373494
2026-02-02 00:00:00+00:00,9,0E9DC914D8DF,0.9499246987951807,0.02547801883593106,13.0,0.9668674698795181,0.8990963855421686
2026-02-02 00:00:00+00:00,10,061A4322745C,0.947289156626506,0.02224301561268336,16.0,0.9487951807228916,0.9427710843373494
2026-02-02 00:00:00+00:00,11,02423E0E6E9F,0.9446536144578312,0.15960427437195887,9.0,0.9969879518072289,0.7876506024096386
2026-02-02 00:00:00+00:00,12,0A4E33E2692B,0.9439006024096386,0.015228708887167316,22.0,0.9307228915662651,0.983433734939759
2026-02-02 00:00:00+00:00,13,0A1FB1C98A92,0.9284638554216867,0.011182582442622076,19.0,0.9156626506024096,0.9668674698795181
2026-02-02 00:00:00+00:00,14,0A7AC5BDAF86,0.9194277108433735,0.009585591832006666,19.0,0.9036144578313253,0.9668674698795181
2026-02-02 00:00:00+00:00,15,0AD276FC5E27,0.9175451807228916,0.024675060228549296,9.0,0.9608433734939759,0.7876506024096386
2026-02-09 00:00:00+00:00,1,0A4E33E2692B,0.9913403614457831,0.0026607791796853172,19.0,0.9969879518072289,0.9743975903614458
2026-02-09 00:00:00+00:00,2,0A1FB1C98A92,0.9849397590361446,0.0015843568513397679,21.0,0.9849397590361446,0.9849397590361446
2026-02-09 00:00:00+00:00,3,0EE071F7B24A,0.9743975903614458,0.004455985708671986,13.0,1.0,0.8975903614457831
2026-02-09 00:00:00+00:00,4,06787526FEB3,0.9597138554216867,0.00110060737597515,16.0,0.9608433734939759,0.9563253012048193
2026-02-09 00:00:00+00:00,5,02DC03A0F1E6,0.954066265060241,0.0013602969601155084,13.0,0.9728915662650602,0.8975903614457831
2026-02-09 00:00:00+00:00,6,02F98EB34A7A,0.9457831325301205,0.0009593998825094606,14.0,0.9548192771084337,0.9186746987951807
2026-02-09 00:00:00+00:00,7,02D7623552C8,0.9435240963855421,0.000937056641463393,14.0,0.9518072289156626,0.9186746987951807
2026-02-09 00:00:00+00:00,8,0A2778A31BE3,0.9375,0.0012913898037126101,11.0,0.9698795180722891,0.8403614457831325
2026-02-09 00:00:00+00:00,9,0A68F38A6ACF,0.9344879518072289,0.0006907175643424875,40.0,0.9126506024096386,1.0
